"taz";"hhlds2015";"transittotal2015";"autototal2015";"hhlds2050";"transittotal2050";"autototal2050"
66.0;287.0;608;1003;362.0;848;1102
593.0;365.0;508;851;388.0;776;1014
481.0;313.0;363;885;466.0;541;1030
647.0;862.0;805;1186;2042.0;997;1308
544.0;84.0;605;1202;317.0;926;1313
24.0;455.0;220;939;566.0;130;1082
409.0;6.0;236;1157;6.0;472;1236
460.0;637.0;251;935;656.0;562;1076
143.0;515.0;599;1038;543.0;801;1086
94.0;330.0;601;991;380.0;831;1099
725.0;1.0;708;1249;1.0;881;1390
364.0;1564.0;694;1126;1589.0;975;1189
980.0;0.0;9;794;0.0;31;948
127.0;768.0;614;984;820.0;849;1083
748.0;0.0;796;1189;0.0;1123;1303
949.0;0.0;864;1228;0.0;1050;1329
975.0;0.0;14;772;1.0;19;918
470.0;104.0;151;848;125.0;312;972
876.0;189.0;154;1047;2466.0;344;1137
522.0;0.0;269;1183;2.0;753;1284
856.0;6.0;103;829;2.0;190;982
69.0;464.0;552;1084;528.0;863;1107
86.0;258.0;335;893;386.0;458;967
689.0;736.0;230;826;860.0;607;980
134.0;398.0;550;1156;411.0;747;1208
743.0;288.0;792;1256;312.0;994;1361
161.0;515.0;499;953;529.0;758;1071
907.0;353.0;261;1060;441.0;359;1140
227.0;729.0;647;870;747.0;806;999
498.0;238.0;106;833;238.0;229;885
759.0;134.0;249;832;213.0;461;968
43.0;460.0;646;978;789.0;881;1100
646.0;0.0;798;1187;0.0;972;1311
870.0;12.0;43;1021;0.0;69;3
338.0;574.0;625;913;592.0;802;1032
889.0;338.0;332;1037;445.0;561;1137
41.0;325.0;553;916;352.0;510;1078
603.0;12.0;631;1271;176.0;832;1390
697.0;427.0;556;834;485.0;768;1011
801.0;255.0;699;1188;275.0;910;1300
660.0;473.0;298;835;494.0;712;979
412.0;0.0;361;1136;0.0;466;1184
126.0;663.0;465;1163;672.0;619;1212
264.0;581.0;550;869;626.0;767;1005
667.0;507.0;825;1249;756.0;1054;1370
844.0;0.0;503;893;0.0;698;998
782.0;512.0;689;1158;516.0;1019;1268
887.0;211.0;224;931;2240.0;304;1023
89.0;853.0;420;1124;929.0;467;1152
587.0;488.0;688;1168;588.0;907;1305
699.0;538.0;677;1104;569.0;900;1215
724.0;466.0;702;1237;720.0;784;1399
208.0;498.0;273;834;586.0;512;1015
428.0;240.0;327;1112;288.0;673;1139
862.0;21.0;441;820;8.0;538;1011
721.0;110.0;411;858;110.0;597;1039
432.0;389.0;480;1119;407.0;560;1170
419.0;102.0;136;827;130.0;190;812
666.0;856.0;832;1219;1490.0;1064;1335
928.0;1070.0;565;1242;1359.0;946;1376
58.0;680.0;435;989;739.0;808;1099
177.0;477.0;565;942;478.0;746;1034
32.0;645.0;424;950;850.0;648;1097
707.0;937.0;694;1118;1041.0;886;1235
152.0;906.0;507;1155;916.0;774;1235
936.0;197.0;803;1222;197.0;1023;1309
2.0;324.0;367;940;414.0;552;1088
215.0;466.0;594;845;521.0;751;1021
735.0;673.0;730;1171;677.0;999;1263
865.0;6.0;136;1239;200.0;85;3
468.0;233.0;106;775;233.0;172;809
675.0;451.0;387;836;505.0;612;973
826.0;330.0;718;1195;371.0;883;1290
490.0;21.0;190;1137;31.0;651;1190
